itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
315930,2,KODEX Top5PlusTR,19045,5,-205,-1.06,19051.0,17.9895,9301,177,6418
148070,6,KOSEF 국고채10년,109200,5,-630,-0.57,109336.0,-1.9288,5466,597,6410
278540,1,KODEX MSCI Korea TR,11970,5,-65,-0.54,11979.0,7.9372,46035,551,6344
294400,1,KOSEF 200TR,43455,5,-240,-0.55,43546.0,7.9955,5236,227,6084
448590,6,KBSTAR 23-11 회사채(AA-이상)액티브,51715,2,10,0.02,51714.0,0.8956,9622,497,6073
447820,6,TIGER 24-10 회사채(A+이상)액티브,52980,5,-25,-0.05,52951.0,0.6647,8552,453,5916
293180,1,HANARO 200,35060,5,-220,-0.62,35128.0,8.0551,317,11,5908
360200,4,ACE 미국S&P500,14870,5,-5,-0.03,14902.0,6.8759,60900,904,5859
379800,4,KODEX 미국S&P500TR,13245,5,-5,-0.04,13277.0,6.8979,39628,524,5828
459580,6,KODEX CD금리액티브(합성),1006615,2,100,0.01,1006612.0,,341921,344181,5709
395170,2,KODEX Fn Top10동일가중,8615,5,-90,-1.03,8618.0,10.6099,867,7,5651
229200,1,KODEX 코스닥150,15205,5,-210,-1.36,15283.0,18.8053,1542238,23568,5641
462010,2,TIGER 2차전지소재Fn,12135,5,-205,-1.66,12142.0,,5400704,66064,5625
356540,6,ACE 종합채권(AA-이상)KIS액티브,95690,5,-255,-0.27,95678.0,-0.4152,277,26,5400
069660,1,KOSEF 200,35070,5,-185,-0.52,35132.0,8.0613,6036,211,5383
196230,6,KBSTAR 단기통안채,108520,2,10,0.01,108522.0,0.8129,1566107,169957,5246
251350,4,KODEX 선진국MSCI World,22510,5,-55,-0.24,22605.0,4.424,11399,256,5166
091160,2,KODEX 반도체,34985,5,-465,-1.31,35046.0,28.8622,276632,9714,5020
396500,2,TIGER Fn반도체TOP10,9710,5,-160,-1.62,9706.0,26.7822,640683,6229,4996
379810,4,KODEX 미국나스닥100TR,13405,5,-5,-0.04,13436.0,15.3548,41549,556,4913
314250,4,KODEX 미국FANG플러스(H),29755,5,-115,-0.39,29814.0,31.2678,51557,1530,4874
394670,4,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),9505,5,-70,-0.73,9549.0,6.8042,57008,540,4870
367380,4,ACE 미국나스닥100,15500,5,-5,-0.03,15542.0,15.0905,48266,747,4836
105190,1,ACE 200,35265,5,-195,-0.55,35304.0,7.6339,11816,416,4726
273140,6,KODEX 단기변동금리부채권액티브,107465,2,5,0.0,107459.0,0.8682,814,87,4267
329750,6,TIGER 미국달러단기채권액티브,11270,2,65,0.58,11259.0,-3.3636,37535,423,4097
451600,6,ARIRANG 국고채30년액티브,93100,5,-415,-0.44,93050.0,-4.5132,16,1,3942
364980,2,TIGER KRX2차전지K-뉴딜,21510,5,-320,-1.47,21535.0,17.9681,501303,10841,3915
394660,4,TIGER 글로벌자율주행&전기차SOLACTIVE,11575,2,10,0.09,11655.0,19.5966,25573,295,3616
453540,6,TIGER 25-10 회사채(A+이상)액티브,50525,5,-60,-0.12,50488.0,0.4268,9040,456,3569
436140,6,SOL 종합채권(AA-이상)액티브,101330,5,-140,-0.14,101289.0,-0.5148,4,0,3499
385560,6,KBSTAR KIS국고채30년Enhanced,67020,5,-400,-0.59,67099.0,-5.9169,13805,925,3472
091170,2,KODEX 은행,6270,5,-20,-0.32,6284.0,6.6101,132026,824,3370
439860,6,KODEX ESG종합채권(A-이상)액티브,104020,3,0,0.0,104113.0,0.3424,0,0,3239
453530,6,TIGER 24-04 회사채(A+이상)액티브,50755,5,-25,-0.05,50719.0,0.9141,6072,308,3204
114260,6,KODEX 국고채3년,57655,5,-95,-0.16,57637.0,-0.1988,610,35,3049
226490,1,KODEX 코스피,27035,5,-130,-0.48,27045.0,7.1809,7520,203,3041
143850,4,TIGER 미국S&P500선물(H),52190,5,-225,-0.43,52189.0,9.7466,7490,390,3014
302190,6,TIGER 중장기국채,48460,5,-210,-0.43,48486.0,-1.2679,3029,147,2966
458730,4,TIGER 미국배당다우존스,10360,5,-20,-0.19,10383.0,,50488,522,2932
245710,4,ACE 베트남VN30(합성),19060,5,-145,-0.76,19148.0,11.9825,19708,375,2859
365780,6,ACE 국고채10년,85985,5,-550,-0.64,86055.0,-1.8544,938,80,2850
329200,2,TIGER 리츠부동산인프라,4505,5,-25,-0.55,4497.0,1.3196,80047,360,2840
304660,6,KODEX 미국채울트라30년선물(H),8415,5,-120,-1.41,8411.0,-5.4818,317301,2668,2701
368590,4,KBSTAR 미국나스닥100,15010,5,-5,-0.03,15042.0,15.2517,28839,432,2627
451000,6,ARIRANG 종합채권(AA-이상)액티브,102340,3,0,0.0,102195.0,-0.5056,0,0,2623
367770,2,KBSTAR Fn수소경제테마,9920,5,-15,-0.15,9919.0,-0.1508,12296,121,2619
455860,2,SOL 2차전지소부장Fn,11330,5,-205,-1.78,11349.0,22.3223,611743,6976,2612
455030,6,KODEX 미국달러SOFR금리액티브(합성),10070,2,55,0.55,10090.0,-3.0963,6895,69,2606
446720,4,SOL 미국배당다우존스,9510,5,-5,-0.05,9521.0,1.7755,199964,1899,2596
213610,2,KODEX 삼성그룹밸류,9430,2,20,0.21,9439.0,5.1984,134,1,2537
448310,6,KODEX 23-12 국고채액티브,10275,3,0,0.0,10280.0,0.6859,2185,22,2508
241180,4,TIGER 일본니케이225,18005,5,-155,-0.85,18030.0,6.2298,11235,202,2416
453850,6,ACE 미국30년국채액티브(H),9230,5,-115,-1.23,9199.0,-4.8662,584600,5394,2335
192090,4,TIGER 차이나CSI300,9465,5,-15,-0.16,9506.0,-6.4166,61546,581,2328
091230,2,TIGER 반도체,36305,5,-565,-1.53,36326.0,28.2211,95989,3498,2294
379780,4,KBSTAR 미국S&P500,12860,5,-10,-0.08,12887.0,7.0003,25411,326,2289
290130,2,KBSTAR ESG사회책임투자,10985,5,-40,-0.36,11000.0,6.8831,7729,84,2274
455850,2,SOL 반도체소부장Fn,13215,5,-330,-2.44,13219.0,37.4429,657922,8738,2247
190620,6,ACE 단기통안채,102180,3,0,0.0,102185.0,0.8189,1225883,125268,2217
447780,7,TIGER 23-12 국공채액티브,205620,5,-20,-0.01,205644.0,0.789,56,11,2154
361580,1,KBSTAR 200TR,18800,5,-115,-0.61,18844.0,7.9315,2114,39,2106
143860,2,TIGER 헬스케어,27225,5,-140,-0.51,27282.0,1.5775,41671,1136,2031
388420,2,KBSTAR 비메모리반도체액티브,11220,5,-180,-1.58,11231.0,33.0998,599822,6785,2024
328370,1,ARIRANG 코스피TR,14030,5,-65,-0.46,14068.0,6.659,106,1,2020
295040,1,SOL 200TR,12445,5,-60,-0.48,12448.0,7.6161,87,1,1997
364960,2,TIGER KRX BBIG K-뉴딜,6940,5,-120,-1.7,6954.0,2.0231,72806,506,1988
326240,2,KBSTAR IT플러스,19755,5,-195,-0.98,19763.0,14.3922,10643,210,1983
401470,2,KODEX K-메타버스액티브,8615,2,5,0.06,8640.0,0.9378,29110,249,1973
409820,4,KODEX 미국나스닥100레버리지(합성 H),7620,5,-65,-0.85,7647.0,41.5285,118276,896,1970
200250,4,KOSEF 인도Nifty50(합성),19960,2,35,0.18,20034.0,5.2284,75651,1511,1896
385550,6,KBSTAR 단기종합채권(AA-이상)액티브,104850,2,15,0.01,104854.0,0.7641,612,64,1891
332940,1,HANARO MSCI Korea TR,15015,5,-60,-0.4,15027.0,7.9098,13,0,1877
132030,5,KODEX 골드선물(H),12530,5,-70,-0.56,12536.0,-2.5899,31774,398,1792
448870,6,ACE 23-12 회사채(AA-이상)액티브,104400,2,10,0.01,104401.0,0.8793,6,0,1781
130730,6,KOSEF 단기자금,103430,2,15,0.01,103433.0,0.7599,1091,112,1761
138540,2,TIGER 현대차그룹+펀더멘털,24070,5,-430,-1.76,24065.0,4.3885,8209,198,1757
461950,2,KODEX 2차전지핵심소재10 Fn,13040,5,-205,-1.55,13055.0,,550379,7217,1734
363570,6,KODEX 장기종합채권(AA-이상)액티브KAP,87320,5,-305,-0.35,87312.0,-1.5726,8,0,1726
161510,2,ARIRANG 고배당주,11330,2,5,0.04,11355.0,0.0,41470,468,1723
461460,6,ARIRANG 국고채10년액티브,49780,3,0,0.0,49550.0,,0,0,1713
275980,4,TIGER 글로벌4차산업혁신기술(합성 H),16770,5,-105,-0.62,16880.0,15.1091,11356,190,1694
372330,4,KODEX 차이나항셍테크,6435,5,-20,-0.31,6458.0,11.6782,59575,382,1647
400970,2,TIGER Fn메타버스,8750,5,-60,-0.68,8763.0,5.4458,64161,559,1623
457480,4,ACE 테슬라밸류체인액티브,13105,5,-210,-1.58,13160.0,,360646,4730,1618
412770,4,TIGER 글로벌메타버스액티브,7730,2,35,0.45,7726.0,15.8885,99067,763,1601
228800,2,TIGER 여행레저,3615,2,15,0.42,3613.0,-7.336,119987,432,1586
401170,2,KBSTAR iSelect메타버스,7510,5,-90,-1.18,7516.0,3.6834,5858,44,1547
414780,4,TIGER 차이나과창판STAR50(합성),6950,5,-20,-0.29,7097.0,-17.3191,618,4,1532
451530,6,TIGER 국고채30년스트립액티브,44625,5,-260,-0.58,44651.0,-7.2049,11163,497,1524
329650,7,KODEX TRF3070,11380,5,-30,-0.26,11413.0,0.706,9095,103,1514
168580,4,ACE 중국본토CSI300,25440,5,-120,-0.47,25664.0,-6.3565,973,24,1506
439870,6,KODEX 국고채30년액티브,97065,5,-520,-0.53,96838.0,-3.4625,569,55,1492
219480,4,KODEX 미국S&P500선물(H),21485,5,-110,-0.51,21492.0,10.2629,16934,363,1472
182480,7,TIGER 미국MSCI리츠(합성 H),12360,5,-60,-0.48,12398.0,5.5942,4379,54,1440
458210,7,히어로즈 CD금리액티브(합성),100725,3,0,0.0,100700.0,,0,0,1427
438330,6,TIGER 투자등급회사채액티브,104085,5,-90,-0.09,104107.0,0.3274,6,0,1375
448290,4,TIGER 미국S&P500TR(H),11175,5,-35,-0.31,11192.0,10.2803,16139,179,1363
278240,3,KBSTAR 코스닥150선물레버리지,15205,5,-375,-2.41,15205.0,37.3292,19579,300,1352
451060,1,KTOP K200액티브,10935,5,-70,-0.64,10947.0,7.3135,228,2,1345
448880,6,ACE 24-12 회사채(AA-이상)액티브,106260,3,0,0.0,106280.0,0.7108,271,28,1329
302450,1,KBSTAR 코스피,27405,5,-95,-0.35,27429.0,6.6304,3663,100,1329
244580,2,KODEX 바이오,8105,5,-60,-0.73,8127.0,2.8337,225235,1829,1323
304940,4,KODEX 미국나스닥100선물(H),19105,5,-100,-0.52,19150.0,18.806,20057,382,1318
332930,1,HANARO 200TR,43505,5,-255,-0.58,43574.0,7.6109,16,0,1283
325020,2,KODEX 배당가치,12795,5,-90,-0.7,12819.0,8.6699,528,6,1254
402970,4,ACE 미국배당다우존스,10530,5,-10,-0.09,10541.0,1.6785,269238,2834,1253
152380,6,KODEX 국채선물10년,62845,5,-395,-0.62,62851.0,-2.3396,2718,170,1248
305080,6,TIGER 미국채10년선물,11210,2,15,0.13,11209.0,-6.9023,24782,277,1222
453010,7,ARIRANG KOFR금리,101370,2,10,0.01,101368.0,0.9109,201,20,1214
451540,6,TIGER 종합채권(AA-이상)액티브,49930,5,-145,-0.29,49971.0,-0.6153,105,5,1187
422420,2,KBSTAR 2차전지액티브,15365,5,-215,-1.38,15372.0,23.6998,365366,5652,1177
277630,1,TIGER 코스피,27255,5,-225,-0.82,27292.0,6.8969,663,18,1172
266420,2,KODEX 헬스케어,12000,5,-60,-0.5,12009.0,1.6863,36224,434,1164
270810,1,KBSTAR 코스닥150,15080,5,-155,-1.02,15198.0,18.0092,10231,155,1161
204480,4,TIGER 차이나CSI300레버리지(합성),17685,5,-55,-0.31,18145.0,-17.3924,177278,3124,1153
441680,7,TIGER 미국나스닥100커버드콜(합성),10110,2,30,0.3,10140.0,2.8676,197816,1998,1102
261240,7,KODEX 미국달러선물,11830,2,50,0.42,11843.0,-2.8454,51181,605,1088
252710,3,TIGER 200선물인버스2X,2525,2,35,1.41,2528.0,-13.9897,469974,1189,1083
453810,4,KODEX 인도Nifty50,10830,2,5,0.05,10863.0,5.4759,71015,769,1083
228810,2,TIGER 미디어컨텐츠,7015,5,-10,-0.14,7032.0,-3.1035,11885,83,1056
395290,2,HANARO Fn K-POP&미디어,10320,5,-30,-0.29,10319.0,6.045,21891,225,1047
419890,6,히어로즈 단기채권ESG액티브,103050,3,0,0.0,103068.0,0.7676,0,0,1041
448600,6,KBSTAR 25-11 회사채(AA-이상)액티브,52240,5,-55,-0.11,52262.0,0.2876,883,46,1041
367760,2,KBSTAR Fn5G테크,10570,5,-190,-1.77,10598.0,36.0303,26750,284,1036
453870,4,TIGER 인도니프티50,10640,3,0,0.0,10659.0,5.2319,17635,188,1000
446770,4,ACE 글로벌반도체TOP4 Plus SOLACTIVE,15115,5,-40,-0.26,15120.0,24.6196,24362,368,990
292560,7,TIGER 일본엔선물,8700,2,10,0.12,8697.0,-9.6674,134847,1173,983
232080,1,TIGER 코스닥150,15620,5,-185,-1.17,15721.0,18.7007,16483,258,978
438570,6,SOL 국고채10년,102405,5,-480,-0.47,102408.0,-1.7477,865,88,971
283580,4,KODEX 차이나CSI300,11765,5,-45,-0.38,11867.0,-6.7141,10514,123,959
139230,2,TIGER 200 중공업,4085,2,20,0.49,4090.0,25.6568,508069,2081,949
150460,2,TIGER 중국소비테마,6345,2,40,0.63,6359.0,-9.1499,7675,48,948
407310,1,HANARO 200 TOP10,9045,5,-100,-1.09,9061.0,10.3802,26,0,941
364970,2,TIGER KRX바이오K-뉴딜,5960,5,-40,-0.67,5964.0,2.2146,164619,981,909
390390,4,KODEX 미국반도체MV,14170,2,10,0.07,14203.0,27.041,11579,163,907
157490,2,TIGER 소프트웨어,9180,5,-205,-2.18,9166.0,4.2777,172282,1585,896
423920,4,TIGER 미국필라델피아반도체레버리지(합성),14140,2,90,0.64,14226.0,52.0562,67784,953,881
414270,4,ACE G2전기차&자율주행액티브,9935,5,-5,-0.05,9946.0,17.2169,16639,165,864
461270,6,ACE 26-06 회사채(AA-이상)액티브,10040,5,-5,-0.05,10033.0,,14611,146,843
411420,4,KODEX 미국메타버스나스닥액티브,8440,2,25,0.3,8489.0,21.6919,28994,244,836
245340,4,TIGER 미국다우존스30,22695,2,165,0.73,22720.0,1.2675,5280,119,831
315960,2,KBSTAR 대형고배당10TR,17210,5,-190,-1.09,17212.0,13.355,1207,20,826
267770,3,TIGER 200선물레버리지,13680,5,-170,-1.23,13694.0,15.6093,63096,862,821
363580,2,KODEX 200IT TR,12655,5,-5,-0.04,12635.0,10.1348,305,3,810
195980,4,ARIRANG 신흥국MSCI(합성 H),9510,5,-75,-0.78,9537.0,8.1828,7158,67,808
298770,4,KODEX 한국대만IT프리미어,19435,5,-60,-0.31,19466.0,11.8473,6652,129,797
411060,5,ACE KRX금현물,11610,2,35,0.3,11573.0,-5.1619,14385,167,789
144600,5,KODEX 은선물(H),4710,5,-40,-0.84,4714.0,-2.9623,38311,180,787
448300,4,TIGER 미국나스닥100TR(H),13005,5,-65,-0.5,13044.0,18.8181,37033,481,767
437080,6,KODEX 미국종합채권SRI액티브(H),96530,5,-450,-0.46,96567.0,-0.7421,350,33,752
139250,2,TIGER 200 에너지화학,16150,5,-140,-0.86,16203.0,3.3301,5113,82,740
395270,2,HANARO Fn K-반도체,9805,2,5,0.05,9801.0,21.588,678791,6678,735
195920,4,TIGER 일본TOPIX(합성 H),19575,5,-65,-0.33,19661.0,12.7439,159,3,732
225040,4,TIGER 미국S&P500레버리지(합성 H),30430,5,-225,-0.73,30602.0,21.5744,5137,155,718
454780,6,히어로즈 종합채권(AA-이상)액티브,99320,3,0,0.0,99159.0,-0.7198,0,0,715
309230,4,ACE 미국WideMoat가치주,21635,5,-55,-0.25,21640.0,7.9104,2746,59,714
261220,5,KODEX WTI원유선물(H),14990,2,135,0.91,14985.0,8.7083,73555,1100,712
447770,7,TIGER 테슬라채권혼합Fn,11340,5,-135,-1.18,11347.0,14.75,26534,300,703
385720,1,TIMEFOLIO Kstock액티브,9140,5,-60,-0.65,9137.0,5.4441,45,0,686
114820,6,TIGER 국채3년,105545,5,-60,-0.06,105521.0,-0.2325,37,3,665
204450,4,KODEX 차이나H레버리지(H),2140,5,-10,-0.47,2152.0,3.1175,95331,202,661
458260,6,TIGER 미국투자등급회사채액티브(H),50125,5,-390,-0.77,50005.0,,371,18,660
445290,2,KODEX K-로봇액티브,13880,5,-55,-0.39,13868.0,13.3848,83562,1164,659
174360,4,KBSTAR 중국본토대형주CSI100,17105,5,-5,-0.03,17216.0,-7.6882,1054,17,650
245360,4,TIGER 차이나HSCEI,9460,5,-70,-0.73,9545.0,0.263,3768,35,643
269540,4,ARIRANG 미국S&P500(H),18800,5,-85,-0.45,18849.0,9.8603,6933,130,639
462330,2,KODEX 2차전지산업레버리지,12675,5,-325,-2.5,12680.0,,200365,2562,634
266160,2,KBSTAR 고배당,12030,5,-45,-0.37,12050.0,5.9024,5070,60,632
228790,2,TIGER 화장품,2275,2,75,3.41,2279.0,0.6864,813748,1834,631
461260,6,ACE 25-06 회사채(AA-이상)액티브,10050,5,-5,-0.05,10045.0,,796,8,624
437350,6,KBSTAR 미국단기투자등급회사채액티브,9950,2,25,0.25,9938.0,-4.0136,161,1,622
139280,2,TIGER 경기방어,8405,2,5,0.06,8422.0,-3.8132,10486,87,619
136340,6,KBSTAR 중기우량회사채,103645,5,-150,-0.14,103692.0,0.4189,512,53,612
272560,6,KBSTAR 단기국공채액티브,105760,5,-10,-0.01,105768.0,0.6135,638,67,605
452360,4,SOL 미국배당다우존스(H),10600,5,-55,-0.52,10620.0,5.3907,85835,909,604
419430,4,KODEX 차이나2차전지MSCI(합성),7305,2,115,1.6,7457.0,-7.7022,57773,420,599
325010,2,KODEX Fn성장,15260,5,-90,-0.59,15245.0,9.6037,3,0,595
322400,2,HANARO e커머스,10905,5,-155,-1.4,10932.0,-1.9504,8975,98,578
284430,6,KODEX 200미국채혼합,12235,5,-20,-0.16,12219.0,-1.2888,4633,56,577
233160,3,TIGER 코스닥150 레버리지,15790,5,-325,-2.02,15866.0,37.6174,37628,598,576
461450,1,KODEX 코스닥글로벌,11330,5,-135,-1.18,11416.0,,1308,14,567
437070,6,KODEX 아시아달러채권SRI플러스액티브,49900,2,180,0.36,49838.0,-4.1358,776,38,565
354350,4,HANARO 글로벌럭셔리S&P(합성),19520,5,-280,-1.41,19650.0,-0.101,2973,58,549
456680,4,TIGER 차이나전기차레버리지(합성),8640,2,70,0.82,8740.0,,10449,89,544
261260,7,KODEX 미국달러선물인버스2X,7000,5,-55,-0.78,7009.0,7.2188,142924,999,544
390950,6,HANARO 단기채권액티브,103800,3,0,0.0,103807.0,0.7669,0,0,539
449450,2,ARIRANG K방산Fn,12130,2,245,2.06,12142.0,1.5811,162014,1941,522
448490,6,HANARO 32-10 국고채액티브,51495,5,-310,-0.6,51440.0,-2.5306,252,13,518
117680,2,KODEX 철강,10400,2,50,0.48,10403.0,14.6814,15838,164,517
371450,4,TIGER 글로벌클라우드컴퓨팅INDXX,9760,5,-35,-0.36,9810.0,21.526,8168,79,515
456600,4,TIMEFOLIO 글로벌AI인공지능액티브,13885,5,-10,-0.07,13912.0,,188805,2623,514
385510,2,KODEX K-신재생에너지액티브,16435,2,265,1.64,16421.0,17.0466,16635,271,509
388280,2,KBSTAR Fn컨택트대표,8020,5,-30,-0.37,8022.0,-2.4243,1519,12,507
407830,4,에셋플러스 글로벌플랫폼액티브,7445,5,-75,-1.0,7495.0,26.3865,3532,26,506
458760,4,TIGER 미국배당+7%프리미엄다우존스,10225,2,5,0.05,10235.0,,63585,649,506
195930,4,TIGER 유로스탁스50(합성 H),15510,5,-180,-1.15,15626.0,2.2816,2245,34,496
433330,4,SOL 미국S&P500,12250,2,5,0.04,12283.0,6.8405,5193,63,490
456610,6,TIGER 미국달러SOFR금리액티브(합성),48800,2,185,0.38,48809.0,,1727,84,489
108450,2,ACE 삼성그룹섹터가중,16200,5,-25,-0.15,16197.0,5.7003,3881,62,486
368190,2,HANARO Fn K-뉴딜디지털플러스,9915,5,-145,-1.44,9911.0,7.8242,1635,16,486
441540,2,HANARO Fn조선해운,12125,5,-90,-0.74,12127.0,29.6021,53512,654,485
266370,2,KODEX IT,19245,5,-165,-0.85,19229.0,13.4092,1561,30,481
336160,6,KBSTAR 금융채액티브,100775,2,20,0.02,100717.0,0.1092,1,0,478
271050,5,KODEX WTI원유선물인버스(H),4435,5,-45,-1.0,4431.0,-9.9498,180337,800,477
440640,6,ACE 단기채권알파액티브,103310,2,5,0.0,103315.0,0.7509,483,49,475
101280,4,KODEX 일본TOPIX100,17655,5,-45,-0.25,17655.0,3.1168,2359,41,470
360140,2,KODEX 200롱코스닥150숏선물,8040,2,60,0.75,8039.0,-11.8233,10348,82,466
387270,4,TIGER 글로벌BBIG액티브,11745,2,5,0.04,11797.0,15.098,6326,74,463
417630,2,TIGER KEDI혁신기업ESG30,10990,5,-60,-0.54,10990.0,9.7318,3530,38,462
363510,6,SOL KIS단기통안채,104160,2,15,0.01,104139.0,0.7205,1,0,456
276970,4,KODEX 미국S&P500배당귀족커버드콜(합성 H),9205,5,-35,-0.38,9293.0,1.0498,3800,34,451
371470,4,TIGER 차이나바이오테크SOLACTIVE,6435,2,5,0.08,6465.0,-15.3948,1867,12,450
256440,4,ACE 인도네시아MSCI(합성),10695,3,0,0.0,10695.0,-7.242,4631,49,449
122260,6,KOSEF 통안채1년,103495,3,0,0.0,103500.0,0.6173,6,0,445
152870,1,파워 200,35240,5,-230,-0.65,35291.0,7.6642,12,0,441
123320,3,TIGER 레버리지,17415,5,-235,-1.33,17424.0,15.5861,130825,2278,435
458250,6,TIGER 미국채30년스트립액티브(합성 H),49225,5,-1070,-2.13,49088.0,,27582,1355,431
441640,4,KODEX 미국배당프리미엄액티브,10020,2,25,0.25,10057.0,-0.8531,68718,688,431
238720,4,ACE 일본Nikkei225(H),22630,5,-205,-0.9,22629.0,16.0315,3605,81,430
123310,3,TIGER 인버스,4915,2,30,0.61,4914.0,-6.6858,136861,672,428
102970,2,KODEX 증권,6075,5,-30,-0.49,6089.0,3.5623,34698,210,416
099140,4,KODEX 차이나H,16270,5,-140,-0.85,16563.0,-0.4188,523,8,415
365000,2,TIGER KRX인터넷K-뉴딜,3975,5,-90,-2.21,3977.0,1.4981,174756,701,409
411540,1,SOL 200 Top10,9250,5,-115,-1.23,9252.0,11.0254,1454,13,407
359210,1,KODEX 코스피TR,12920,5,-10,-0.08,12897.0,6.8153,484,6,401
456880,7,ACE 미국달러SOFR금리(합성),9860,2,40,0.41,9859.0,-3.0603,7544,74,396
445150,2,KODEX K-친환경선박액티브,12680,5,-100,-0.78,12690.0,25.8493,25425,323,393
404260,2,KODEX KRX기후변화솔루션,13970,5,-115,-0.82,13979.0,15.4981,11618,162,391
458030,6,WOORI 단기국공채액티브,50360,3,0,0.0,50361.0,,0,0,384
395750,2,ARIRANG ESG가치주액티브,8340,5,-45,-0.54,8364.0,7.2936,5532,46,384
387280,2,TIGER 퓨처모빌리티액티브,11270,5,-100,-0.88,11257.0,9.5375,1967,22,382
304780,3,HANARO 200선물레버리지,19765,5,-270,-1.35,19803.0,15.4089,140,2,376
227540,2,TIGER 200 헬스케어,17020,5,-20,-0.12,17049.0,2.6815,24442,415,374
418660,4,TIGER 미국나스닥100레버리지(합성),12435,2,5,0.04,12496.0,28.6083,34942,433,367
203780,4,TIGER 미국나스닥바이오,19415,5,-115,-0.59,19465.0,-4.2648,2604,50,365
415340,4,KODEX 차이나과창판STAR50(합성),7150,2,10,0.14,7234.0,-16.1972,210,1,365
394350,4,KOSEF 릭소글로벌퓨처모빌리티MSCI,10935,5,-165,-1.49,11005.0,21.3114,2923,32,361
449190,4,KODEX 미국나스닥100(H),12790,5,-55,-0.43,12813.0,19.0233,52969,675,352
200030,4,KODEX 미국S&P500산업재(합성),24830,2,150,0.61,24867.0,6.8629,3914,96,347
453820,4,KODEX 인도Nifty50레버리지(합성),11555,2,120,1.05,11571.0,7.0692,1212,13,347
138230,7,KOSEF 미국달러선물,14080,2,70,0.5,14076.0,-2.9107,210,2,346
